Number,Test Case/Test Scenario,Expected Output,Actual Output,Test Result
27,"piece of x = 3;
serve x;","Syntax Error: Unexpected 'serve' at line 2, col 1. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.","Syntax Error: Unexpected 'serve' at line 2, col 1. Expected 'piece', 'sip', 'flag', 'chars', 'table', 'id', 'prepare', 'start'.",TRUE
28,"start(){
    order{
        serve 1;
    } serve 2;
    repeat(x < 3);
}","Syntax Error: Unexpected 'serve' at line 4, col 7. Expected repeat.","Syntax Error: Unexpected 'serve' at line 4, col 7. Expected repeat.",TRUE
29,"piece of x = 2;

start(){
    menu(x){
        choice 1: serve 10;
        choice 2: serve 20;
        usual: serve 0;
    }
}",No Syntax Error,No Syntax Error,TRUE
30,"start(){
    serve (x + 1) * (y - 2);
}",No Syntax Error,No Syntax Error,TRUE
31,"piece of x = 5 y;
start(){
    serve x;
}","Syntax Error: Unexpected 'id' at line 1, col 16. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'id' at line 1, col 16. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
32,"piece[] of nums = (1, 2, 3);

start(){
    serve nums[0];
}","Syntax Error: Unexpected ',' at line 1, col 21. Expected ).","Syntax Error: Unexpected ',' at line 1, col 21. Expected ).",TRUE
33,"start(){
    menu(x + 1){
    stop;
    }
}","Syntax Error: Unexpected 'stop' at line 3, col 5. Expected 'choice', 'usual', '}'.","Syntax Error: Unexpected 'stop' at line 3, col 5. Expected 'choice', 'usual', '}'.",TRUE
34,"start(){
    pass(i = 0; i += 1; i < 3){
        serve i;
    }
}",No Syntax Error,No Syntax Error,TRUE
35,"piece of x = 3;

start(){
    repeat[x < 5]{
        serve x;
    }
}","Syntax Error: Unexpected '{' at line 4, col 18. Expected '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', '=', '+=', '-=', '*=', '/=', '%=', ']'.","Syntax Error: Unexpected '{' at line 4, col 18. Expected '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', '=', '+=', '-=', '*=', '/=', '%=', ']'.",TRUE
36,"table of Item = [
    piece of price;
];

Item of i = [
    price = 50;
];

start(){
    serve i:price + 10;
}",No Syntax Error,No Syntax Error,TRUE
37,"start[]{
    serve 0;
}","Syntax Error: Unexpected '{' at line 1, col 8. Expected '[', 'of'.","Syntax Error: Unexpected '{' at line 1, col 8. Expected '[', 'of'.",TRUE
38,"prepare piece of inc(piece of x){
    serve x + 1;
}

start(){
    serve inc(3);
}",No Syntax Error,No Syntax Error,TRUE
39,"piece of x = 5;
sip of y = 2.5;

prepare chars of makeText(piece of a, sip of b){
    serve tochars(a + topiece(b));
}

start(){
    serve makeText(x, y);
}",No Syntax Error,No Syntax Error,TRUE
40,"start(){
    serve x + 1: 2;
}","Syntax Error: Unexpected ':' at line 2, col 17. Expected '+', '-', '*', '/', '<', '>', '<=', '>=', '==', '!=', 'and', 'or', ')', ']', ';'.
","Syntax Error: Unexpected ':' at line 2, col 17. Expected '+', '-', '*', '/', '<', '>', '<=', '>=', '==', '!=', 'and', 'or', ')', ']', ';'.
",TRUE
41,"piece[] of array = [0,1,2];
piece[] of integers = [1,2,3];
flag of enabled = up;
start(){
bill(""flag is: "" + tochars(2 - size(array) > integers[0] and enabled == up));
}",No Syntax Error,No Syntax Error,TRUE
42,"piece[] of integers = 1,2,3];
start(){
}","Syntax Error: Unexpected 'piece_lit' at line 1, col 25. Expected 'id'.","Syntax Error: Unexpected 'piece_lit' at line 1, col 25. Expected 'id'.",TRUE
43,"start(){
bill(""flag is: ""  tochars(2));
}","Syntax Error: Unexpected 'tochars' at line 3, col 19. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'tochars' at line 3, col 19. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
44,"start(){
another = bill() += 23;
}","Syntax Error: Unexpected '+=' at line 2, col 18. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected '+=' at line 2, col 18. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
45,"start(){
bill(0-array + 2); # ganito lang pwede magnegative gg
}",No Syntax Error,No Syntax Error,TRUE
46,"start(){
bill(tochars(topiece(""32"")-topiece(cut(12.56,2.0))));
}",No Syntax Error,No Syntax Error,TRUE
47,"start(){
pass(a = 3; a-=1; a and 0){
}
}",No Syntax Error,No Syntax Error,TRUE
48,"start() {
  menu(1) { 
    choice 1: rand(); stop; 
    choice 2: size(a); stop;
  }
}",No Syntax Error,No Syntax Error,TRUE
49,start() { piece of exprInit = 1 2; },"Syntax Error: Unexpected 'piece_lit' at line 1, col 33. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'piece_lit' at line 1, col 33. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
50,start() { tableType of m = field: ; },"Syntax Error: Unexpected ';' at line 1, col 35. Expected id.","Syntax Error: Unexpected ';' at line 1, col 35. Expected id.",TRUE
51,"start() { piece[] of arr = [5,3,8,4,2]; piece of n = size(arr); pass(i=0; i+=1; i<n) { pass(j=0; j+=1; j<n-(1)) { check(arr[j] > arr[j+1]) { piece of temp = arr[j]; arr[j] = arr[j+1]; arr[j+1] = temp; } } } serve [arr]; }",No Syntax Error,No Syntax Error,TRUE
52,"start() {
    piece[] of arr = [64,25,12,22,11];
    piece of n = size(arr);

    pass(i=0; i+=1; i<n-(1)) {
        piece of minIndex = i;
        piece of temp;
        pass(j=i+1; j+=1; j<n) {
            check(arr[j] < arr[minIndex]) {
                minIndex = j;
            }
        }
        temp = arr[minIndex];
        arr[minIndex] = arr[i];
        arr[i] = temp;
    }
    serve [arr];
}",No Syntax Error,No Syntax Error,TRUE
53,"start() {
    piece[] of arr = [12,11,13,5,6];
    piece of n = size(arr);

    pass(i=1; i+=1; i<n) {
        piece of key = arr[i];
        piece of j = i-(1);

        repeat(j>=0 and arr[j] > key) {
            arr[j+1] = arr[j];
            j -= 1;
        }
        arr[j+1] = key;
    }
    serve [arr];
}
",No Syntax Error,No Syntax Error,TRUE
54,"start() {
    piece[] of arr = [2,4,6,8,10];
    piece of target = 6;
    piece of n = size(arr);

    pass(i=0; i+=1; i<n) {
        check(arr[i] == target) {
            serve [i];
            stop;
        }
    }
    serve [-1]; # not found
}
",No Syntax Error,No Syntax Error,TRUE
55,"start() {
    piece[] of arr = [1,2,3,4,5,6,7,8,9];
    piece of target = 7;
    piece of low = 0;
    piece of high = size(arr)-(1);

    repeat(low <= high) {
        piece of mid = (low + high) / 2;
        check(arr[mid] == target) {
            serve [mid];
            stop;
        }
        alt(arr[mid] < target) {
            low = mid + 1;
        }
        instead {
            high = mid - 1;
        }
    }
    serve [-1];
}
",No Syntax Error,No Syntax Error,TRUE
56,"start() {
    piece of n = 5;
    piece of result = 1;

    pass(i=1; i+=1; i<=n) {
        result *= i;
    }
    serve [result];
}",No Syntax Error,No Syntax Error,TRUE
57,"start() {
    piece of n = 10;
    piece[] of fib = [0,1];

    pass(i=2; i+=1; i<n) {
        fib[i] = fib[i-(1)] + fib[i-(2)];
    }
    serve [fib];
}
",No Syntax Error,No Syntax Error,TRUE
58,"start() {
    piece of a = 48;
    piece of b = 18;

    repeat(b != 0) {
        piece of temp = b;
        b = a % b;
        a = temp;
    }
    serve [a];
}",No Syntax Error,No Syntax Error,TRUE
59,"start() {
    piece of n = 29;
    flag of isPrime = up;

    pass(i=2; i+=1; i*i <= n) {
        check(n % i == 0) {
            isPrime = down;
            stop;
        }
    }
    serve [isPrime];
}
",No Syntax Error,No Syntax Error,TRUE
60,"prepare piece[] of mergeSort(piece[] of arr) {
    piece of n;
    piece of mid;
    piece of i;
    piece[] of left;
    piece[] of right;
    piece[] of sortedLeft;
    piece[] of sortedRight;
    piece[] of result;

    n = size(arr);

    check(n <= (1)) {
        serve [arr];
    }

    mid = n / (2);
    left = [];
    right = [];

    # copy left half
    pass(i=0; i+=1; i<mid) {
        append(left, arr[i]);
    }

    # copy right half
    pass(i=mid; i+=1; i<n) {
        append(right, arr[i]);
    }

    sortedLeft = mergeSort(left);
    sortedRight = mergeSort(right);

    result = merge(sortedLeft, sortedRight);
    serve [result];
}

prepare piece[] of merge(piece[] of left, piece[] of right) {
    piece of i;
    piece of j;
    piece[] of merged;

    i = (0);
    j = (0);
    merged = [];

    pass(k=0; k+=1; k<size(left)+size(right)) {
        check(i < size(left) and (j >= size(right) or left[i] <= right[j])) {
            append(merged, left[i]);
            i += (1);
        }
        alt(j < size(right)) {
            append(merged, right[j]);
            j += (1);
        }
    }
    serve [merged];
}

start() {
    piece[] of arr;
    piece[] of sorted;

    arr = [38,27,43,3,9,82,10];
    sorted = mergeSort(arr);
    serve [sorted];
}
",No Syntax Error,No Syntax Error,TRUE
61,"piece of x = 2;

table of Food = [piece of qty;];

start(){
  Food of hotdog = [a;];
    
  bill();
}","Syntax Error: Unexpected ';' at line 6, col 22. Expected ',', '=', ']'.","Syntax Error: Unexpected ';' at line 6, col 22. Expected ',', '=', ']'.",TRUE
62,"start(){
  prepare;){}
}","Syntax Error: Unexpected ';' at line 2, col 10. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.","Syntax Error: Unexpected ';' at line 2, col 10. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.",TRUE
63,"prepare(){}
start(){}","Syntax Error: Unexpected '(' at line 1, col 8. Expected '[', 'of'.","Syntax Error: Unexpected '(' at line 1, col 8. Expected '[', 'of'.",TRUE
64,"iwag of a = ;
start(){}","Syntax Error: Unexpected ';' at line 1, col 13. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', '['.","Syntax Error: Unexpected ';' at line 1, col 13. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', '['.",TRUE
65,"piece of a; 
sip of b = ((3+5*2) and ) 5>10);
table of a = [
  piece of x;
];
start(){} 
}","Syntax Error: Unexpected ')' at line 2, col 25. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip'.","Syntax Error: Unexpected ')' at line 2, col 25. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip'.",TRUE
66,"piece of a = piece
start(){}","Syntax Error: Unexpected 'piece' at line 1, col 14. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip'.","Syntax Error: Unexpected 'piece' at line 1, col 14. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip'.",TRUE
67,"a of a = :
start(){}","Syntax Error: Unexpected ':' at line 1, col 10. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', '['.","Syntax Error: Unexpected ':' at line 1, col 10. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', '['.",TRUE
68,"start(){
  menu(a){
    choice a:a:a:a:
  }
}","Syntax Error: Unexpected 'id' at line 3, col 12. Expected 'piece_lit', 'chars_lit'.","Syntax Error: Unexpected 'id' at line 3, col 12. Expected 'piece_lit', 'chars_lit'.",TRUE
69,"  
table of Student = [
  piece of Name;
    chars of Age;
];

start() {
  Student of Student1 = [
      Name = 1;
        Age = ""Hello"";
    ];
    
    Student of Student2 = [
      Name = 2;
        Age = ""World"";
    ];
    
  Student[] of Class = [
    
    ];
    
    chars[] of Class1 = [Student1:Name, Student1:Age];
    
  serve 0;
}","Syntax Error: Unexpected ':' at line 22, col 34. Expected ',', '=', ']'.","Syntax Error: Unexpected ':' at line 22, col 34. Expected ',', '=', ']'.",TRUE
70,"start() {
  piece of a = 5/2 + 13;
}",No Syntax Error,No Syntax Error,TRUE
71,"start() {
  piece of a = ((1.2/6) + bill());
}",No Syntax Error,No Syntax Error,TRUE
72,"piece[] of array = [0,1,2];
piece[] of integers = [1,2,3];
flag of enabled = up;
start(){
bill(""flag is: "" + tochars(2 - size(array) > integers[0] and enabled == up));
}",No Syntax Error,No Syntax Error,TRUE
73,"start() {
piece of x = 5;
piece of y = (x + 3);
ans = tochars(y);
bill(ans);
}",No Syntax Error,No Syntax Error,TRUE
74,"sip of pi = 3.14;

prepare sip of circumference(piece of r){
        serve 2*pi*r;
}

start(){
        sip of c = circumference(3);
        chars of ans = tochars(c);
        bill(""The answer is: "" + ans);
}",No Syntax Error,No Syntax Error,TRUE
75,"start(){
        sip of c = ((x*(x+1)*(x-2) - (3*x-5)*(x+4))*(x*x - 1)) / (((x-1)*(x-1) + (x+1)*(x+1))*(x*x + 1));
}","Syntax Error: Unexpected 'piece_lit' at line 3, col 25. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'piece_lit' at line 3, col 25. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
76,"sip of a = (((x*(x+2) - (x-1)*(x-1))*(x*(x-3) + 5) + (2*x+1)*(x+4)) /
 ((x*(x-2) + (x+1)*(x+1))*(x+3)));
start(){}","Syntax Error: Unexpected 'piece_lit' at line 1, col 27. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'piece_lit' at line 1, col 27. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
77,"sip of a = (pow(x+3,2)+sqrt(cut(y,1,5)+4)-fact(cut(n,1,6)))/(1+pow(copy(x,2)-rand(),2))
+sqrt(pow(cut(z,0,3),2)+copy(rand(),3));
start(){}",No Syntax Error,No Syntax Error,TRUE
78,"sip of a = (pow(x-1,2) + sqrt(cut(y,0,4)) - fact(cut(n,1,5))) / (1 + copy(rand(),2))
start(){}","Syntax Error: Unexpected 'piece_lit' at line 1, col 18. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'piece_lit' at line 1, col 18. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
79,"sip of a = ((x + pow(y-2,2))*(sqrt(cut(z,1,4)) - 1))
/
(1 + copy(rand(),2))
- fact(cut(n,1,4));

start(){}","Syntax Error: Unexpected 'piece_lit' at line 1, col 23. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'piece_lit' at line 1, col 23. Expected '(', '[', ':', '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
80,"sip of a = pow(x,2)/sqrt(cut(y,1,3)) + fact(n);
start(){}",No Syntax Error,No Syntax Error,TRUE
81,"start() {
    piece of x = 12  + 13 ;
    sip of y = 123;
    serve 0
}","Syntax Error: Unexpected '}' at line 5, col 1. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected '}' at line 5, col 1. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
82,"prepare piece of add2(piece of y) {
    serve y+2;
}

start() {
        piece of xd = add2(12) + add2(13);
    bill(tochars(xd));
}",No Syntax Error,No Syntax Error,TRUE
83,"start() {
  repeat(x < 10) {
    x = x + 1;
    next;
    x = x + 999;  
    # comment ko
  }
}
",No Syntax Error,No Syntax Error,TRUE
84,"start() {
  a[0 = 1;
}
","Syntax Error: Unexpected '=' at line 3, col 7. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected '=' at line 3, col 7. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
85,"prepare piece of serving () {
        serving of server; server; }

start() {
}
","Syntax Error: Unexpected ';' at line 2, col 27. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.","Syntax Error: Unexpected ';' at line 2, col 27. Expected 'of', '[', ':', '=', '+=', '-=', '*=', '/=', '%=', '('.",TRUE
86,"start() {
  person:age = 19;
  person:name = ""Floyd"";
}
",No Syntax Error,No Syntax Error,TRUE
87,"table of person = [
        piece of age;
    chars of name;

]


start() {}","Syntax Error: Unexpected 'start' at line 8, col 1. Expected ;.","Syntax Error: Unexpected 'start' at line 8, col 1. Expected ;.",TRUE
88,"start() {
  piece of badval = 1 value;
}","Syntax Error: Unexpected 'id' at line 3, col 23. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.","Syntax Error: Unexpected 'id' at line 3, col 23. Expected '*', '/', '%', '+', '-', '>', '<', '>=', '<=', '==', '!=', 'and', 'or', ',', ';', ')', ']'.",TRUE
89,"start() {
  flag of expr = 1 - 23 > 12  and (up and down) * 12 * 1 * 2 % 12 / (1/2);
}
",No Syntax Error,No Syntax Error,TRUE
90,"start() {
  piece of badexpr = 1 -  ;
}","Syntax Error: Unexpected ';' at line 2, col 27. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip'.","Syntax Error: Unexpected ';' at line 2, col 27. Expected 'not', '(', 'piece_lit', 'sip_lit', 'flag_lit', 'chars_lit', 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip'.",TRUE
91,"prepare piece of add1() {
  x = x + 1;
}

prepare piece of add2() {
  add1();
  add1();
}

start() {
  x = 0;
  add2();
}
",No Syntax Error,No Syntax Error,TRUE
92,"start() {
  x = 1;
  {
    y = x + 2;
  }
}
","Syntax Error: Unexpected '{' at line 3, col 3. Expected 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', 'check', 'menu', 'pass', 'repeat', 'order', 'next', 'stop', 'serve', '}', 'choice', 'usual'.","Syntax Error: Unexpected '{' at line 3, col 3. Expected 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', 'check', 'menu', 'pass', 'repeat', 'order', 'next', 'stop', 'serve', '}', 'choice', 'usual'.",TRUE
93,"start() {
  flag of ok = (a + b * 2) >= (c - 1) and not (d == 0) or e < 5;
}
",No Syntax Error,No Syntax Error,TRUE
94,"start() {
  person of floy;
  floy:age = 19;
  floy:age = floy:age + 1;
  isAdult = floy:age >= 18;
  chars of x = tochars(isAdult); 
  bill(x);
}
","Syntax Error: Unexpected 'chars' at line 5, col 3. Expected 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', 'check', 'menu', 'pass', 'repeat', 'order', 'next', 'stop', 'serve', '}', 'choice', 'usual'.","Syntax Error: Unexpected 'chars' at line 5, col 3. Expected 'id', 'append', 'bill', 'copy', 'cut', 'fact', 'matches', 'pow', 'rand', 'remove', 'reverse', 'search', 'size', 'sort', 'sqrt', 'take', 'tochars', 'topiece', 'tosip', 'check', 'menu', 'pass', 'repeat', 'order', 'next', 'stop', 'serve', '}', 'choice', 'usual'.",TRUE
95,"start() {
  pass( x = 0; x+=1 ; x>1) {
    sum = x + y + z;
  }
}
",No Syntax Error,No Syntax Error,TRUE
